,2012,2013,2014,2015,2016,2012,2013,2014,2015,2016
January,,1.45,2.31,2.31,2.56,,46.8,46.8,43.8,48
February,,1.8,1.89,1.99,2.28,,48,48.6,45.6,51.6
March,,2.03,2.02,2.42,2.69,,60,59.4,57.6,57.6
April,,1.99,2.23,2.45,2.48,,57.6,58.2,53.4,58.2
May,,2.32,2.39,2.57,2.73,,61.8,60.6,56.4,60
June,,2.2,2.14,2.42,2.37,,58.2,55.2,52.8,57
July,,2.13,2.27,2.4,2.31,,56.4,51,54,57.6
August,,2.43,2.21,2.5,2.23,,63,58.8,60.6,61.8
September,1.71,1.9,1.89,2.09,,55.8,57.6,49.8,47.4,69
October,1.9,2.13,2.29,2.54,,56.4,53.4,54.6,54.6,75
November,2.74,2.56,2.83,2.97,,71.4,71.4,65.4,67.8,85.2
December,4.2,4.16,4.04,4.35,,117.6,114,102,100.2,121.8